1	0
0.98	0.000216274102001414
0.96	0.00114403399585129
0.94	0.00243650856830169
0.92	0.00399818384740706
0.9	0.0057928318377178
0.88	0.00776202039400256
0.86	0.00988457084589789
0.84	0.012143367844472
0.82	0.0144970712911875
0.8	0.0169614030460539
0.78	0.0194931941170497
0.76	0.0220844488223993
0.74	0.0247204866053977
0.72	0.0273695264982845
0.7	0.0300336689957935
0.68	0.0326950481323855
0.66	0.0353185598702101
0.64	0.0379045371206869
0.62	0.0404466720408361
0.6	0.0428738527646849
0.58	0.0452410396581804
0.56	0.0475040960861371
0.54	0.0496746771722592
0.52	0.051746250165914
0.5	0.0536305355765792
0.48	0.0554497820893508
0.46	0.0571079264248316
0.44	0.0586468369344419
0.42	0.0600559019192863
0.4	0.0612393697278955
0.38	0.0623485321207433
0.36	0.0631994529297013
0.34	0.0638927467198605
0.32	0.0643895705927134
0.3	0.0646384440730007
0.28	0.0647593693181421
0.26	0.0644990566554724
0.24	0.064100752129094
0.22	0.0632542102806523
0.2	0.0622058070922006
0.18	0.0606719802994021
0.16	0.0588639799936921
0.14	0.0564019004522642
0.12	0.0534540558760386
0.1	0.0498604381515099
0.08	0.0452963052589867
0.06	0.0396571585430972
0.04	0.0324248321637948
0.02	0.0223205621329183
0	0
0.02	-0.0124626812726937
0.04	-0.0168951923166027
0.06	-0.0198621781816899
0.08	-0.0221506782451004
0.1	-0.0239182081477792
0.12	-0.025303521644703
0.14	-0.0264229195668921
0.16	-0.0272441746155507
0.18	-0.0279163179291532
0.2	-0.0283547266549329
0.22	-0.0286768777976658
0.24	-0.0288331405788794
0.26	-0.0288943920387701
0.28	-0.0288398318848019
0.3	-0.0286723245337148
0.32	-0.0284586031261384
0.34	-0.0281314797142067
0.36	-0.0277626560365935
0.38	-0.0273241163569309
0.4	-0.0268174542019068
0.42	-0.0262857533314218
0.44	-0.0256778677442178
0.46	-0.0250374047044127
0.48	-0.0243771642582265
0.5	-0.0236588884981186
0.52	-0.0229238413452823
0.54	-0.0221619498278169
0.56	-0.0213679985236374
0.58	-0.0205633542945402
0.6	-0.0197318558601311
0.62	-0.0188893548602723
0.64	-0.0180388329028169
0.66	-0.0171671103643398
0.68	-0.0162925589586287
0.7	-0.0154037362814613
0.72	-0.0145055865186769
0.74	-0.0136043063187385
0.76	-0.012696740818203
0.78	-0.0117869105806647
0.8	-0.0108626695938452
0.82	-0.00993488387920911
0.84	-0.00899799051757699
0.86	-0.0080559403450254
0.88	-0.00710305384525529
0.9	-0.00613921095257802
0.92	-0.00512708743902413
0.94	-0.0040729759074775
0.96	-0.00295015883273322
0.98	-0.00167519885221703
1	0
